circuitRef,url
albert_park,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
sepang,http://en.wikipedia.org/wiki/Sepang_International_Circuit
bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
catalunya,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
istanbul,http://en.wikipedia.org/wiki/Istanbul_Park
monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco
villeneuve,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
magny_cours,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
hockenheimring,http://en.wikipedia.org/wiki/Hockenheimring
hungaroring,http://en.wikipedia.org/wiki/Hungaroring
valencia,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
marina_bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
fuji,http://en.wikipedia.org/wiki/Fuji_Speedway
shanghai,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
interlagos,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
nurburgring,http://en.wikipedia.org/wiki/N%C3%BCrburgring
imola,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit
vegas,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
galvez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
jerez,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez
estoril,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril
okayama,http://en.wikipedia.org/wiki/TI_Circuit
adelaide,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit
kyalami,http://en.wikipedia.org/wiki/Kyalami
donington,http://en.wikipedia.org/wiki/Donington_Park
rodriguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
phoenix,http://en.wikipedia.org/wiki/Phoenix_street_circuit
ricard,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
yeongam,http://en.wikipedia.org/wiki/Korean_International_Circuit
jacarepagua,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
detroit,http://en.wikipedia.org/wiki/Detroit_street_circuit
brands_hatch,http://en.wikipedia.org/wiki/Brands_Hatch
zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
zolder,http://en.wikipedia.org/wiki/Zolder
dijon,http://en.wikipedia.org/wiki/Dijon-Prenois
dallas,http://en.wikipedia.org/wiki/Fair_Park
long_beach,"http://en.wikipedia.org/wiki/Long_Beach,_California"
las_vegas,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit
jarama,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
watkins_glen,http://en.wikipedia.org/wiki/Watkins_Glen_International
anderstorp,http://en.wikipedia.org/wiki/Scandinavian_Raceway
mosport,http://en.wikipedia.org/wiki/Mosport
montjuic,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
nivelles,http://en.wikipedia.org/wiki/Nivelles-Baulers
charade,http://en.wikipedia.org/wiki/Charade_Circuit
tremblant,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
essarts,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
lemans,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
reims,http://en.wikipedia.org/wiki/Reims-Gueux
george,http://en.wikipedia.org/wiki/Prince_George_Circuit
zeltweg,http://en.wikipedia.org/wiki/Zeltweg_Airfield
aintree,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
boavista,http://en.wikipedia.org/wiki/Circuito_da_Boavista
riverside,http://en.wikipedia.org/wiki/Riverside_International_Raceway
avus,http://en.wikipedia.org/wiki/AVUS
monsanto,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
sebring,http://en.wikipedia.org/wiki/Sebring_Raceway
ain-diab,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
pescara,http://en.wikipedia.org/wiki/Pescara_Circuit
bremgarten,http://en.wikipedia.org/wiki/Circuit_Bremgarten
pedralbes,http://en.wikipedia.org/wiki/Pedralbes_Circuit
buddh,http://en.wikipedia.org/wiki/Buddh_International_Circuit
americas,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
red_bull_ring,http://en.wikipedia.org/wiki/Red_Bull_Ring
sochi,http://en.wikipedia.org/wiki/Sochi_Autodrom
baku,http://en.wikipedia.org/wiki/Baku_City_Circuit
portimao,http://en.wikipedia.org/wiki/Algarve_International_Circuit
mugello,http://en.wikipedia.org/wiki/Mugello_Circuit
jeddah,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
losail,http://en.wikipedia.org/wiki/Losail_International_Circuit
miami,http://en.wikipedia.org/wiki/Miami_International_Autodrome
